"bias_logit","bias_cc","bias_wcc","bias_lcc","var_logit","var_cc","var_wcc","var_lcc"
0,0.21126485074809,0.000101476718777488,0.00320062836861969,0.000387206110474333,0.0070898447890352,0.00843887671258541,0.00771272626181375
0,0.230515719608048,0.0000599133227348319,0.004451083492431,0.00089077167315016,0.0100229844896183,0.0116873239623172,0.00842356290327582
0,0.222813235110361,0.0000250116956158779,0.00552062753485355,0.00144890845095077,0.00966938611990661,0.0105951657869968,0.00837857589664839
0,0.233430878186072,0.0000607480006268654,0.00448655704134075,0.00267180262753424,0.0113595847258155,0.0135946035218753,0.0103456814097737
0,0.226896286427389,0.000105081378361782,0.000207976254448856,0.0026034296236511,0.0110245579622341,0.0130674820202318,0.0124598119704091
0,0.236533127273946,0.000236877218815079,0.00103258654970136,0.00339808659232296,0.0127089239829236,0.0149756682682167,0.0147508325570688
0,0.229921784382467,0.0000934717942243041,0.00221971193590714,0.00568851153417579,0.0120728452210086,0.0129484078561595,0.0199912807485702
0,0.225771497704508,0.0000244282757616443,0.00619040344187682,0.00617122527775134,0.0195436484457315,0.0229909360636628,0.0160941702228432
0,0.228027620378968,0.00005617263510747,0.0145043576577527,0.00845915420879994,0.0197065411521178,0.0232420631679623,0.0206901650725935
0,0.226841195610584,0.000000373977296194957,0.000472905025173845,0.00886984366743523,0.0266912346046301,0.0319626189992883,0.0304257548495391
0,0.233724898615083,0.000361031395285027,0.0000496051965608453,0.0118707544805054,0.0336696389631357,0.037315757003956,0.0305332404927332
0,0.211433185580491,0.000283005258656159,0.000172510842232997,0.0125107220911785,0.0300684509810885,0.0348787207328881,0.0294257001797638
